WKT,name,description
"POINT (-75.2061581 39.9657716)",Saint Joseph's University,
"POINT (-90.23364079999999 38.63482369999999)",Saint Louis University,
"POINT (-122.1089374 37.8408837)",Saint Mary's College of California,
"POINT (-74.07003259999999 40.72694920000001)",Saint Peter's University,
"POINT (-95.547276 30.7135813)",Sam Houston State University,
"POINT (-86.7913423 33.4649218)",Samford University,
"POINT (-117.0714068 32.7774047)",San Diego State University,
"POINT (-121.8810715 37.3351874)",San José State University,
"POINT (-121.9367804 37.3489255)",Santa Clara University,
"POINT (-122.3178465 47.6091765)",Seattle University,
"POINT (-74.246082 40.7430841)",Seton Hall University,
"POINT (-73.7513323 42.71894959999999)",Siena College,
"POINT (-80.8492832 33.4981687)",South Carolina State University,
"POINT (-96.78351819999999 44.3191071)",South Dakota State University,
"POINT (-89.52804379999999 37.3148783)",Southeast Missouri State University,
"POINT (-90.4710715 30.5178932)",Southeastern Louisiana University,
"POINT (-89.2229983 37.7079717)",Southern Illinois University,
"POINT (-89.9996714 38.7951375)",Southern Illinois University Edwardsville,
"POINT (-96.78451749999999 32.8412178)",Southern Methodist University,
"POINT (-91.1929407 30.5265222)",Southern University and A&M College,
"POINT (-113.0713001 37.6764461)",Southern Utah University,
"POINT (-78.4829439 42.07857680000001)",St. Bonaventure University,
"POINT (-73.98654619999999 40.69011359999999)",St. Francis College,
"POINT (-73.7947689 40.72159789999999)",St John's University,
"POINT (-122.17006 37.42766)",Stanford University,
"POINT (-94.64664379999999 31.6216141)",Stephen F. Austin State University,
"POINT (-81.3009245 29.0335139)",Stetson University,
"POINT (-71.08091300000001 42.05810530000001)",Stonehill College,
"POINT (-75.9694885 42.0894288)",Binghamton University,
"POINT (-78.7889697 43.0008093)",University at Buffalo,
"POINT (-73.1204032 40.908119)",Stony Brook University,
"POINT (-73.8247903 42.6850273)",University at Albany,
"POINT (-76.1336922 43.03865020000001)",Syracuse University,
"POINT (-98.215953 32.2160433)",Tarleton State University,
"POINT (-75.1553563 39.9811911)",Temple University,
"POINT (-86.8258566 36.1683703)",Tennessee State University,
"POINT (-85.50910859999999 36.1763138)",Tennessee Tech University,
"POINT (-96.33646549999999 30.6186806)",Texas A&M University,
"POINT (-95.91041489999999 33.24066449999999)",Texas A&M University-Commerce,
"POINT (-97.32457389999999 27.7123121)",Texas A&M University-Corpus Christi,
"POINT (-97.36280409999999 32.7078531)",Texas Christian University,
"POINT (-95.35926909999999 29.7214214)",Texas Southern University,
"POINT (-97.938351 29.888411)",Texas State University,
"POINT (-101.8746483 33.5845522)",Texas Tech University,
"POINT (-79.9596641 32.7973082)",The Citadel,
"POINT (-76.61263919999999 39.39251209999999)",Towson University,
"POINT (-85.9571615 31.80259259999999)",Troy University,
"POINT (-90.12031669999999 29.9407282)",Tulane University,
"POINT (-104.8613176 38.9983094)",United States Air Force Academy,
"POINT (-73.95710729999999 41.3889095)",United States Military Academy,
"POINT (-76.4839405 38.98206580000001)",United States Naval Academy,
"POINT (-81.50975439999999 41.0716551)",University of Akron,
"POINT (-87.5401002 33.2114385)",The University of Alabama,
"POINT (-86.80574949999999 33.5020323)",University of Alabama at Birmingham,
"POINT (-110.9501094 32.2318851)",The University of Arizona,
"POINT (-94.1748471 36.0686895)",University of Arkansas,
"POINT (-92.3378705 34.7252717)",University of Arkansas at Little Rock,
"POINT (-92.0217418 34.2473695)",University of Arkansas Pine Bluff,
"POINT (-122.2594606 37.870151)",University of California, Berkeley,
"POINT (-121.7617125 38.5382322)",University of California, Davis,
"POINT (-117.8416747 33.6423814)",University of California, Irvine,
"POINT (-118.4438495 34.0699182)",University of California, Los Angeles,
"POINT (-117.3280644 33.9737055)",University of California, Riverside,
"POINT (-117.2340135 32.8800604)",University of California, San Diego,
"POINT (-119.848947 34.4139629)",University of California, Santa Barbara,
