WKT,name,description
"LINESTRING (-89.52804379999999 37.3148783, -88.86433319999999 36.3429724)",Southeast Missouri State University & University of Tennessee at Martin,
"LINESTRING (-89.4124875 43.07659200000001, -88.7734365 41.935056)",University of Wisconsin-Madison & Northern Illinois University,
"LINESTRING (-89.33345349999999 31.3298668, -88.184236 30.6959406)",The University of Southern Mississippi & University of South Alabama,
"LINESTRING (-88.99476299999999 40.5121009, -88.2271615 40.1019523)",Illinois State University & University of Illinois Urbana-Champaign,
"LINESTRING (-88.86433319999999 36.3429724, -88.3209372 36.616251)",University of Tennessee at Martin & Murray State University,
"LINESTRING (-88.79437659999999 33.45517419999999, -87.5401002 33.2114385)",Mississippi State University & The University of Alabama,
"LINESTRING (-88.7734365 41.935056, -87.67526699999999 42.05645939999999)",Northern Illinois University & Northwestern University,
"LINESTRING (-88.3209372 36.616251, -87.3548855 36.53498)",Murray State University & Austin Peay State University,
"LINESTRING (-88.2271615 40.1019523, -88.17521839999999 39.4835612)",University of Illinois Urbana-Champaign & Eastern Illinois University,
"LINESTRING (-88.17521839999999 39.4835612, -87.40828069999999 39.4713985)",Eastern Illinois University & Indiana State University,
"LINESTRING (-87.93101399999999 43.03869549999999, -87.67526699999999 42.05645939999999)",Marquette University & Northwestern University,
"LINESTRING (-87.93101399999999 43.03869549999999, -87.8819686 43.07826299999999)",Marquette University & University of Wisconsin-Milwaukee,
"LINESTRING (-87.9210482 44.5313196, -87.8819686 43.07826299999999)",University of Wisconsin-Green Bay & University of Wisconsin-Milwaukee,
"LINESTRING (-87.6804676 34.807836, -86.5722237 34.78384090000001)",University of North Alabama & Alabama A&M University,
"LINESTRING (-87.67526699999999 42.05645939999999, -87.65825919999999 41.9989483)",Northwestern University & Loyola University Chicago,
"LINESTRING (-87.6727294 37.9634036, -87.5321724 37.9734113)",University of Southern Indiana & University of Evansville,
"LINESTRING (-87.65825919999999 41.9989483, -87.65416549999999 41.92418680000001)",Loyola University Chicago & DePaul University,
"LINESTRING (-87.65416549999999 41.92418680000001, -87.60943879999999 41.7179751)",DePaul University & Chicago State University,
"LINESTRING (-87.60943879999999 41.7179751, -87.04388929999999 41.4639394)",Chicago State University & Valparaiso University,
"LINESTRING (-87.5401002 33.2114385, -86.80574949999999 33.5020323)",The University of Alabama & University of Alabama at Birmingham,
"LINESTRING (-87.5321724 37.9734113, -86.456 36.9847167)",University of Evansville & Western Kentucky University,
"LINESTRING (-87.40828069999999 39.4713985, -86.52300729999999 39.1682449)",Indiana State University & Indiana University Bloomington,
"LINESTRING (-87.3548855 36.53498, -86.8258566 36.1683703)",Austin Peay State University & Tennessee State University,
"LINESTRING (-87.04388929999999 41.4639394, -86.2355439 41.7050504)",Valparaiso University & University of Notre Dame,
"LINESTRING (-87.04388929999999 41.4639394, -86.92119459999999 40.4237054)",Valparaiso University & Purdue University,
"LINESTRING (-86.92119459999999 40.4237054, -86.1712038 39.8410384)",Purdue University & Butler University,
"LINESTRING (-86.8258566 36.1683703, -86.456 36.9847167)",Tennessee State University & Western Kentucky University,
"LINESTRING (-86.8258566 36.1683703, -86.8026551 36.14470339999999)",Tennessee State University & Vanderbilt University,
"LINESTRING (-86.80574949999999 33.5020323, -86.7913423 33.4649218)",University of Alabama at Birmingham & Samford University,
"LINESTRING (-86.8026551 36.14470339999999, -86.7941702 36.1329081)",Vanderbilt University & Belmont University,
"LINESTRING (-86.7988728 36.1046431, -86.7941702 36.1329081)",Lipscomb University & Belmont University,
"LINESTRING (-86.7988728 36.1046431, -86.36691549999999 35.8486229)",Lipscomb University & Middle Tennessee State University,
"LINESTRING (-86.7913423 33.4649218, -86.2939803 32.3629762)",Samford University & Alabama State University,
"LINESTRING (-86.7913423 33.4649218, -85.7681921 33.82309530000001)",Samford University & Jacksonville State University,
"LINESTRING (-86.5722237 34.78384090000001, -86.36691549999999 35.8486229)",Alabama A&M University & Middle Tennessee State University,
"LINESTRING (-86.52300729999999 39.1682449, -86.17626059999999 39.773929)",Indiana University Bloomington & IUPUI,
"LINESTRING (-86.456 36.9847167, -85.75850229999999 38.2122761)",Western Kentucky University & University of Louisville,
"LINESTRING (-86.36691549999999 35.8486229, -85.50910859999999 36.1763138)",Middle Tennessee State University & Tennessee Tech University,
"LINESTRING (-86.2939803 32.3629762, -85.4942667 32.59805490000001)",Alabama State University & Auburn University,
"LINESTRING (-86.2939803 32.3629762, -85.9571615 31.80259259999999)",Alabama State University & Troy University,
"LINESTRING (-86.2355439 41.7050504, -85.6102506 42.2837337)",University of Notre Dame & Western Michigan University,
"LINESTRING (-86.17626059999999 39.773929, -86.1712038 39.8410384)",IUPUI & Butler University,
"LINESTRING (-86.1712038 39.8410384, -85.40582409999999 40.2024944)",Butler University & Ball State University,
"LINESTRING (-85.7681921 33.82309530000001, -84.5815717 34.03807839999999)",Jacksonville State University & Kennesaw State University,
"LINESTRING (-85.75850229999999 38.2122761, -85.7055271 38.21849390000001)",University of Louisville & Bellarmine University,
"LINESTRING (-85.7055271 38.21849390000001, -84.5039697 38.0306511)",Bellarmine University & University of Kentucky,
"LINESTRING (-85.6102506 42.2837337, -84.4815364 42.72965930000001)",Western Michigan University & Michigan State University,
"LINESTRING (-85.50910859999999 36.1763138, -85.2953072 35.0458509)",Tennessee Tech University & The University of Tennessee at Chattanooga,
"LINESTRING (-85.40582409999999 40.2024944, -84.73449149999999 39.5087485)",Ball State University & Miami University,
"LINESTRING (-85.40582409999999 40.2024944, -85.1059405 41.1184535)",Ball State University & Purdue University Fort Wayne,
"LINESTRING (-85.2953072 35.0458509, -84.5815717 34.03807839999999)",The University of Tennessee at Chattanooga & Kennesaw State University,
"LINESTRING (-84.77586389999999 43.5905995, -84.4815364 42.72965930000001)",Central Michigan University & Michigan State University,
"LINESTRING (-84.73449149999999 39.5087485, -84.51495039999999 39.13292189999999)",Miami University & University of Cincinnati,
"LINESTRING (-84.73449149999999 39.5087485, -84.17904449999999 39.7401454)",Miami University & University of Dayton,
"LINESTRING (-84.5815717 34.03807839999999, -84.39628499999999 33.77561779999999)",Kennesaw State University & Georgia Institute of Technology,
"LINESTRING (-84.51495039999999 39.13292189999999, -84.47406869999999 39.1498065)",University of Cincinnati & Xavier University,
"LINESTRING (-84.51495039999999 39.13292189999999, -84.4625345 39.03120349999999)",University of Cincinnati & Northern Kentucky University,
"LINESTRING (-84.5039697 38.0306511, -84.4625345 39.03120349999999)",University of Kentucky & Northern Kentucky University,
"LINESTRING (-84.5039697 38.0306511, -84.2987483 37.7359731)",University of Kentucky & Eastern Kentucky University,
"LINESTRING (-84.4815364 42.72965930000001, -83.7382071 42.277145)",Michigan State University & University of Michigan,
"LINESTRING (-84.39628499999999 33.77561779999999, -84.38528190000001 33.75306799999999)",Georgia Institute of Technology & Georgia State University,
"LINESTRING (-84.38528190000001 33.75306799999999, -83.375192 33.95666559999999)",Georgia State University & University of Georgia,
"LINESTRING (-84.2987483 37.7359731, -83.4310035 38.18943)",Eastern Kentucky University & Morehead State University,
"LINESTRING (-84.2984889 30.4418778, -84.2877093 30.4227211)",Florida State University & Florida A&M University,
"LINESTRING (-84.2877093 30.4227211, -82.35348400000001 29.644591)",Florida A&M University & University of Florida,
"LINESTRING (-84.17904449999999 39.7401454, -84.06510779999999 39.77985419999999)",University of Dayton & Wright State University,
"LINESTRING (-84.06510779999999 39.77985419999999, -83.0304546 40.0066723)",Wright State University & Ohio State University,
"LINESTRING (-83.92945639999999 35.9544013, -83.1863612 35.3090108)",University of Tennessee & Western Carolina University,
"LINESTRING (-83.7382071 42.277145, -83.624089 42.25068029999999)",University of Michigan & Eastern Michigan University,
"LINESTRING (-83.64969909999999 32.8284878, -83.375192 33.95666559999999)",Mercer University & University of Georgia,
"LINESTRING (-83.63009749999999 41.3798424, -83.6142374 41.6578804)",Bowling Green State University & The University of Toledo,
"LINESTRING (-83.624089 42.25068029999999, -83.1379388 42.4140847)",Eastern Michigan University & University of Detroit Mercy,
"LINESTRING (-83.624089 42.25068029999999, -83.6142374 41.6578804)",Eastern Michigan University & The University of Toledo,
"LINESTRING (-83.4310035 38.18943, -82.42471979999999 38.4236597)",Morehead State University & Marshall University,
"LINESTRING (-83.375192 33.95666559999999, -82.8367119 34.673407)",University of Georgia & Clemson University,
"LINESTRING (-83.20823469999999 42.6678782, -83.1379388 42.4140847)",Oakland University & University of Detroit Mercy,
"LINESTRING (-83.1863612 35.3090108, -82.5665332 35.6170787)",Western Carolina University & University of North Carolina Asheville,
"LINESTRING (-82.8367119 34.673407, -82.4400679 34.92747409999999)",Clemson University & Furman University,
"LINESTRING (-82.5665332 35.6170787, -82.36985299999999 36.30239539999999)",University of North Carolina Asheville & East Tennessee State University,
"LINESTRING (-82.5665332 35.6170787, -82.4400679 34.92747409999999)",University of North Carolina Asheville & Furman University,
"LINESTRING (-82.4400679 34.92747409999999, -81.9711555 34.9996102)",Furman University & University of South Carolina Upstate,
"LINESTRING (-82.42471979999999 38.4236597, -82.10138889999999 39.32435799999999)",Marshall University & Ohio University,
"LINESTRING (-82.41385389999999 28.0587031, -81.2000599 28.6024274)",University of South Florida & University of Central Florida,
"LINESTRING (-82.41385389999999 28.0587031, -81.7800748 26.4626967)",University of South Florida & Florida Gulf Coast University,
"LINESTRING (-82.36985299999999 36.30239539999999, -81.68432179999999 36.21356280000001)",East Tennessee State University & Appalachian State University,
"LINESTRING (-82.35348400000001 29.644591, -81.6035285 30.3516278)",University of Florida & Jacksonville University,
"LINESTRING (-81.9711555 34.9996102, -81.9351358 34.9590202)",University of South Carolina Upstate & Wofford College,
"LINESTRING (-81.9711555 34.9996102, -81.6706979 35.2475249)",University of South Carolina Upstate & Gardner-Webb University,
"LINESTRING (-81.9351358 34.9590202, -81.87755899999999 34.465182)",Wofford College & Presbyterian College,
"LINESTRING (-81.7842919 32.4196512, -80.8492832 33.4981687)",Georgia Southern University & South Carolina State University,
"LINESTRING (-81.7842919 32.4196512, -81.6035285 30.3516278)",Georgia Southern University & Jacksonville University,
"LINESTRING (-81.7800748 26.4626967, -80.3755401 25.7562465)",Florida Gulf Coast University & Florida International University,
"LINESTRING (-81.67442299999999 41.5027643, -81.50975439999999 41.0716551)",Cleveland State University & University of Akron,
"LINESTRING (-81.6706979 35.2475249, -81.03199699999999 34.9394013)",Gardner-Webb University & Winthrop University,
"LINESTRING (-81.6035285 30.3516278, -81.50723140000001 30.2661204)",Jacksonville University & University of North Florida,
"LINESTRING (-81.50975439999999 41.0716551, -81.34331590000001 41.1497945)",University of Akron & Kent State University,
"LINESTRING (-81.50723140000001 30.2661204, -81.03157399999999 29.2110122)",University of North Florida & Bethune-Cookman University,
"LINESTRING (-81.34331590000001 41.1497945, -80.6480952 41.10664130000001)",Kent State University & Youngstown State University,
"LINESTRING (-81.3009245 29.0335139, -81.2000599 28.6024274)",Stetson University & University of Central Florida,
"LINESTRING (-81.3009245 29.0335139, -81.03157399999999 29.2110122)",Stetson University & Bethune-Cookman University,
"LINESTRING (-81.03199699999999 34.9394013, -80.83297240000002 35.18862599999999)",Winthrop University & Queens University of Charlotte,
"LINESTRING (-81.03199699999999 34.9394013, -81.0299186 33.9937575)",Winthrop University & University of South Carolina,
"LINESTRING (-81.0299186 33.9937575, -80.8492832 33.4981687)",University of South Carolina & South Carolina State University,
"LINESTRING (-80.8492832 33.4981687, -80.07065539999999 32.9821829)",South Carolina State University & Charleston Southern University,
"LINESTRING (-80.8423248 35.5015528, -80.2792887 36.1354887)",Davidson College & Wake Forest University,
"LINESTRING (-80.8423248 35.5015528, -80.735164 35.30709289999999)",Davidson College & University of North Carolina at Charlotte,
"LINESTRING (-80.83297240000002 35.18862599999999, -80.735164 35.30709289999999)",Queens University of Charlotte & University of North Carolina at Charlotte,
"LINESTRING (-80.6480952 41.10664130000001, -80.2127179 40.5213461)",Youngstown State University & Robert Morris University,
"LINESTRING (-80.5502298 37.1374838, -80.2792887 36.1354887)",Radford University & Wake Forest University,
"LINESTRING (-80.5502298 37.1374838, -79.4351978 37.7909313)",Radford University & Virginia Military Institute,
"LINESTRING (-80.3755401 25.7562465, -80.10190229999999 26.37374729999999)",Florida International University & Florida Atlantic University,
"LINESTRING (-80.3755401 25.7562465, -80.2781262 25.7173947)",Florida International University & University of Miami,
"LINESTRING (-80.2792887 36.1354887, -79.9976255 35.97653809999999)",Wake Forest University & High Point University,
"LINESTRING (-80.2127179 40.5213461, -79.99025759999999 40.4369485)",Robert Morris University & Duquesne University,
"LINESTRING (-80.07065539999999 32.9821829, -79.9596641 32.7973082)",Charleston Southern University & The Citadel,
"LINESTRING (-80.07065539999999 32.9821829, -79.0136958 33.79611939999999)",Charleston Southern University & Coastal Carolina University,
